filename,mfcc_features
77.wav,"[-378.62939453125, 97.6025619506836, 29.917165756225586, 43.361839294433594, -1.1039807796478271, 48.70404815673828, -8.720553398132324, 17.889814376831055, 8.2699556350708, 17.86153221130371, -10.522106170654297, 21.565780639648438, -3.7356531620025635]"
9.wav,"[-162.85208129882812, 108.99510192871094, -56.18440628051758, 26.90616226196289, 35.29698944091797, 14.611807823181152, -17.80722999572754, 16.7833309173584, 20.394250869750977, -3.3991525173187256, 3.248403310775757, 6.364937782287598, 9.954771995544434]"
73.wav,"[-169.8267059326172, 153.40444946289062, -41.9846305847168, 43.281742095947266, 21.236743927001953, 17.50236701965332, -12.244662284851074, 18.776151657104492, 7.709797382354736, -0.9448817372322083, -3.233912706375122, 9.210272789001465, -4.356822490692139]"
67.wav,"[-284.10113525390625, 139.34246826171875, 8.201872825622559, 14.762678146362305, 9.538339614868164, 36.15562438964844, -0.9896894693374634, 8.212299346923828, 13.580188751220703, 13.10663890838623, -1.0093045234680176, 11.166680335998535, 4.1110711097717285]"
66.wav,"[-274.4297180175781, 150.54226684570312, 14.578445434570312, 22.349246978759766, 11.5530424118042, 36.61927795410156, -0.08880943059921265, 11.790424346923828, 11.926795959472656, 13.238258361816406, -0.43914318084716797, 11.534799575805664, 2.598876476287842]"
72.wav,"[-168.9261016845703, 142.62020874023438, -50.23789596557617, 42.239566802978516, 27.848432540893555, 18.00830841064453, -14.063767433166504, 20.37843132019043, 10.59505844116211, -3.0539536476135254, -2.2789454460144043, 8.853521347045898, 3.529101848602295]"
8.wav,"[-167.4226531982422, 111.13690948486328, -48.828121185302734, 32.223236083984375, 38.74531555175781, 13.769522666931152, -22.866926193237305, 17.868459701538086, 26.869678497314453, -3.1527490615844727, 3.3167316913604736, 5.162109375, 9.801054954528809]"
58.wav,"[-361.2257385253906, 138.98748779296875, 15.837824821472168, -1.1972403526306152, 15.99892520904541, 24.35896110534668, 1.9597492218017578, 2.6390984058380127, 13.401028633117676, 7.46947717666626, -1.1505930423736572, 7.710516452789307, 10.646008491516113]"
64.wav,"[-272.44146728515625, 121.49365234375, 20.35970687866211, 5.809615135192871, 15.9030122756958, 28.645851135253906, 5.0785112380981445, 5.7266669273376465, 13.559192657470703, 9.722557067871094, 4.378669261932373, 6.0386576652526855, 8.12560749053955]"
70.wav,"[-290.611083984375, 134.99029541015625, 16.010412216186523, 8.129807472229004, 13.363391876220703, 31.056385040283203, 1.5785921812057495, 11.32045841217041, 10.034167289733887, 11.774054527282715, 2.4504597187042236, 4.498661518096924, 6.818292140960693]"
